티커,종목,ISIN,시장
289080,SV인베스트먼트,KR7289080004,KSQ
002170,SYTS,KR7002170009,STK
041930,SY동아,KR7041930009,KSQ
084870,TBH글로벌,KR7084870005,STK
002710,TCC스틸,KR7002710002,STK
089230,THE E&M,KR7089230007,KSQ
032540,TJ미디어,KR7032540007,KSQ
069260,TKG휴켐스,KR7069260008,STK
007980,TP,KR7007980006,STK
048770,TPC로보틱스,KR7048770002,KSQ
246690,TS인베스트먼트,KR7246690002,KSQ
317240,TS트릴리온,KR7317240000,KSQ
002900,TYM,KR7002900009,STK
024070,WISCOM,KR7024070005,STK
057030,YBM넷,KR7057030009,KSQ
037270,YG PLUS,KR7037270006,STK
040300,YTN,KR7040300006,KSQ
051390,YW,KR7051390003,KSQ
052220,iMBC,KR7052220001,KSQ
139130,iM금융지주,KR7139130009,STK
079940,가비아,KR7079940003,KSQ
078890,가온그룹,KR7078890001,KSQ
000500,가온전선,KR7000500009,STK
399720,가온칩스,KR7399720002,KSQ
296520,가이아코퍼레이션,KR7296520000,KNX
036620,감성코퍼레이션,KR7036620003,KSQ
000860,강남제비스코,KR7000860007,STK
198440,강동씨앤엘,KR7198440000,KSQ
217730,강스템바이오텍,KR7217730001,KSQ
035250,강원랜드,KR7035250000,STK
114190,강원에너지,KR7114190002,KSQ
094480,갤럭시아머니트리,KR7094480001,KSQ
011420,갤럭시아에스엠,KR7011420007,STK
039240,경남스틸,KR7039240007,KSQ
053950,경남제약,KR7053950002,KSQ
002100,경농,KR7002100006,STK
009450,경동나비엔,KR7009450008,STK
267290,경동도시가스,KR7267290005,STK
012320,경동인베스트,KR7012320008,STK
011040,경동제약,KR7011040003,KSQ
000050,경방,KR7000050005,STK
214390,경보제약,KR7214390007,STK
012610,경인양행,KR7012610002,STK
009140,경인전자,KR7009140005,STK
024910,경창산업,KR7024910002,KSQ
013580,계룡건설,KR7013580006,STK
012200,계양전기,KR7012200002,STK
012205,계양전기우,KR7012201000,STK
002140,고려산업,KR7002140002,STK
049720,고려신용정보,KR7049720006,KSQ
010130,고려아연,KR7010130003,STK
002240,고려제강,KR7002240000,STK
014570,고려제약,KR7014570006,KSQ
348150,고바이오랩,KR7348150004,KSQ
950190,고스트스튜디오,KR8344390008,KSQ
098460,고영,KR7098460009,KSQ
035290,골드앤에스,KR7035290006,KSQ
215000,골프존,KR7215000001,KSQ
121440,골프존홀딩스,KR7121440002,KSQ
009290,광동제약,KR7009290008,STK
086220,광동헬스바이오,KR7086220001,KNX
017040,광명전기,KR7017040007,STK
029480,광무,KR7029480001,KSQ
017900,광전자,KR7017900002,STK
037710,광주신세계,KR7037710001,STK
026910,광진실업,KR7026910000,KSQ
465320,교보15호스팩,KR7465320000,KSQ
482520,교보16호스팩,KR7482520004,KSQ
489210,교보17호스팩,KR7489210005,KSQ
0041B0,교보18호스팩,KR70041B0002,KSQ
0098T0,교보19호스팩,KR70098T0004,KSQ
0132G0,교보20호스팩,KR70132G0007,KSQ
030610,교보증권,KR7030610000,STK
